accuracy,balanced_accuracy,cohen_kappa,concordance_correlation,macro_f1,macro_roc_auc_ovr,mae_native,outer_fold,pearson_r,protocol,r2_native,rmse_native,sample_count,subject_count,task,weighted_f1
0.35714285714285715,0.35723095898859086,0.035960214231063437,,0.33652650356778796,0.5530356533012377,,3,,sample_random,,,140,26,nback,0.336400502402796
0.34285714285714286,0.34335491828553805,0.014612500956315388,,0.3340409825633193,0.5089945590005273,,4,,sample_random,,,140,26,nback,0.33362875688648885
,,,0.09990795274825191,,,45.083995089118865,0,0.18731897629687247,sample_random,0.024569166935158426,56.711209309294055,544,32,refed_regression,
,,,0.13313494543735552,,,44.640947732720086,1,0.2593492904163759,sample_random,0.049901953804024624,55.942907347169005,544,32,refed_regression,
,,,0.18650570722911106,,,42.669393477445766,2,0.3350139507229451,sample_random,0.1051371262555636,53.99789487153855,544,32,refed_regression,
,,,0.12195784949068995,,,45.42528377932315,3,0.200344857691772,sample_random,0.0026003430735781485,57.06452244572833,544,32,refed_regression,
,,,0.09056962014394138,,,46.28438199146387,4,0.16538938211935594,sample_random,0.009671607634784252,57.54247353507713,544,32,refed_regression,
0.3387305699481865,0.2709195394544325,0.03780776834494348,,0.2679904350180364,0.5269690208352206,,0,,sample_random,,,1544,16,visual,0.32833095789015576
0.3788860103626943,0.30331978351834493,0.08069047428353959,,0.3008793204501402,0.5511878984957888,,1,,sample_random,,,1544,16,visual,0.3613677244456561
0.37176165803108807,0.2837775717460574,0.05950203242459817,,0.2683058153819725,0.5517879420871918,,2,,sample_random,,,1544,16,visual,0.340227161846145
0.375,0.29055297630793375,0.0696332633145923,,0.27899178165040067,0.5668454640545328,,3,,sample_random,,,1544,16,visual,0.3462278981537732
0.34650259067357514,0.274711461529087,0.03907488437905171,,0.27102337839444307,0.5275026162963941,,4,,sample_random,,,1544,16,visual,0.33134533147329376
0.6410256410256411,0.641025641025641,0.28205128205128205,,0.6404938271604939,0.6697896120973044,,0,,sample_random,,,312,26,wg,0.6404938271604939
0.6410256410256411,0.641025641025641,0.28205128205128205,,0.64089283512147,0.6918967784352401,,1,,sample_random,,,312,26,wg,0.64089283512147
0.6153846153846154,0.6153846153846154,0.23076923076923073,,0.6134627297129878,0.6507334812623274,,2,,sample_random,,,312,26,wg,0.6134627297129879
0.6346153846153846,0.6346153846153846,0.2692307692307693,,0.634555318099622,0.7002896942800788,,3,,sample_random,,,312,26,wg,0.634555318099622
0.6314102564102564,0.6314102564102564,0.2628205128205128,,0.6297328256091143,0.6746794871794872,,4,,sample_random,,,312,26,wg,0.6297328256091143
0.6691011235955057,0.578517924023542,0.16619479048697616,,0.5813311769345193,0.6407582917019857,,0,,strict_cross_subject,,,1780,5,dsr,0.6580087254285344
0.6833333333333333,0.5796296296296296,0.1743916570104287,,0.5826798300132111,0.6411059670781893,,1,,strict_cross_subject,,,1800,5,dsr,0.664660058961727
0.6316666666666667,0.6633597883597884,0.27142857142857146,,0.61845081567568,0.718314961787184,,2,,strict_cross_subject,,,1800,5,dsr,0.6468550327309349
0.6872222222222222,0.6141534391534391,0.23463839042958134,,0.6169429598810686,0.6844418724279835,,3,,strict_cross_subject,,,1800,5,dsr,0.6825733994214456
0.6588888888888889,0.6626984126984128,0.28604651162790695,,0.6350548144234579,0.7150646678424457,,4,,strict_cross_subject,,,1800,5,dsr,0.6723603222823934
0.6805555555555556,0.6805555555555556,0.36111111111111116,,0.6781691399964241,0.7742592592592592,,0,,strict_cross_subject,,,360,6,mental_arithmetic,0.6781691399964241
0.6694444444444444,0.6694444444444444,0.3388888888888889,,0.6691355354922419,0.7240123456790123,,1,,strict_cross_subject,,,360,6,mental_arithmetic,0.669135535492242
0.6166666666666667,0.6166666666666667,0.23333333333333328,,0.6064514084730188,0.6513888888888889,,2,,strict_cross_subject,,,360,6,mental_arithmetic,0.6064514084730188
0.5861111111111111,0.5861111111111111,0.17222222222222228,,0.5826038237971847,0.6636111111111112,,3,,strict_cross_subject,,,360,6,mental_arithmetic,0.5826038237971847
0.6133333333333333,0.6133333333333333,0.22666666666666668,,0.6056031551747586,0.6342666666666668,,4,,strict_cross_subject,,,300,5,mental_arithmetic,0.6056031551747587
0.5888888888888889,0.5888888888888888,0.1777777777777778,,0.5878585352269563,0.6204938271604938,,0,,strict_cross_subject,,,360,6,motor_imagery,0.5878585352269563
0.5722222222222222,0.5722222222222222,0.1444444444444445,,0.5722090187968765,0.5887962962962963,,1,,strict_cross_subject,,,360,6,motor_imagery,0.5722090187968765
0.5555555555555556,0.5555555555555556,0.11111111111111116,,0.5555418377110405,0.5604012345679013,,2,,strict_cross_subject,,,360,6,motor_imagery,0.5555418377110405
0.5583333333333333,0.5583333333333333,0.1166666666666667,,0.5550338544298385,0.5768209876543209,,3,,strict_cross_subject,,,360,6,motor_imagery,0.5550338544298385
0.55,0.55,0.09999999999999998,,0.5493941855160827,0.5535555555555556,,4,,strict_cross_subject,,,300,5,motor_imagery,0.5493941855160827
0.3950617283950617,0.3950617283950617,0.09259259259259256,,0.3818301617082105,0.5750457247370828,,0,,strict_cross_subject,,,162,6,nback,0.3818301617082105
0.3925925925925926,0.3925925925925926,0.0888888888888888,,0.367435534708262,0.5320987654320988,,1,,strict_cross_subject,,,135,5,nback,0.36743553470826196
0.37777777777777777,0.37777777777777777,0.06666666666666665,,0.36743674367436746,0.5719341563786008,,2,,strict_cross_subject,,,135,5,nback,0.3674367436743674
